,Var1,Freq,Month
1064,2020-01-01,1,2020-01
450,2020-01-02,6,2020-01
714,2020-01-03,4,2020-01
989,2020-01-04,1,2020-01
779,2020-01-05,3,2020-01
688,2020-01-06,4,2020-01
889,2020-01-07,2,2020-01
711,2020-01-08,4,2020-01
780,2020-01-09,3,2020-01
715,2020-01-10,4,2020-01
743,2020-01-11,3,2020-01
946,2020-01-12,2,2020-01
706,2020-01-13,4,2020-01
708,2020-01-14,4,2020-01
633,2020-01-15,4,2020-01
938,2020-01-16,2,2020-01
872,2020-01-17,2,2020-01
718,2020-01-18,4,2020-01
624,2020-01-19,4,2020-01
962,2020-01-20,2,2020-01
371,2020-01-21,7,2020-01
910,2020-01-22,2,2020-01
380,2020-01-23,7,2020-01
422,2020-01-24,6,2020-01
971,2020-01-25,2,2020-01
967,2020-01-26,2,2020-01
604,2020-01-27,5,2020-01
720,2020-01-28,4,2020-01
564,2020-01-29,5,2020-01
671,2020-01-30,4,2020-01
693,2020-01-31,4,2020-01
1062,2020-02-01,1,2020-02
863,2020-02-02,3,2020-02
745,2020-02-03,3,2020-02
367,2020-02-04,7,2020-02
1050,2020-02-05,1,2020-02
762,2020-02-07,3,2020-02
844,2020-02-08,3,2020-02
724,2020-02-09,4,2020-02
990,2020-02-10,1,2020-02
626,2020-02-11,4,2020-02
560,2020-02-12,5,2020-02
717,2020-02-13,4,2020-02
370,2020-02-14,7,2020-02
940,2020-02-15,2,2020-02
952,2020-02-16,2,2020-02
386,2020-02-17,7,2020-02
619,2020-02-18,4,2020-02
1066,2020-02-19,1,2020-02
749,2020-02-20,3,2020-02
182,2020-02-21,10,2020-02
765,2020-02-22,3,2020-02
778,2020-02-23,3,2020-02
597,2020-02-24,5,2020-02
752,2020-02-25,3,2020-02
748,2020-02-26,3,2020-02
270,2020-02-27,9,2020-02
368,2020-02-28,7,2020-02
677,2020-02-29,4,2020-02
818,2020-03-01,3,2020-03
497,2020-03-02,6,2020-03
587,2020-03-03,5,2020-03
482,2020-03-04,6,2020-03
285,2020-03-05,8,2020-03
494,2020-03-06,6,2020-03
397,2020-03-07,7,2020-03
603,2020-03-08,5,2020-03
284,2020-03-09,8,2020-03
105,2020-03-10,13,2020-03
133,2020-03-11,12,2020-03
99,2020-03-12,13,2020-03
261,2020-03-13,9,2020-03
36,2020-03-14,18,2020-03
73,2020-03-15,15,2020-03
37,2020-03-16,18,2020-03
13,2020-03-17,24,2020-03
11,2020-03-18,24,2020-03
4,2020-03-19,28,2020-03
2,2020-03-20,29,2020-03
12,2020-03-21,24,2020-03
47,2020-03-22,17,2020-03
