,Var1,Freq,moving_average,acumulados
708,2020-01-01,21,0.0,21
457,2020-01-02,31,0.0,52
501,2020-01-03,29,0.0,81
764,2020-01-04,20,0.0,101
788,2020-01-05,19,0.0,120
695,2020-01-06,22,0.0,142
416,2020-01-07,33,25.0,175
380,2020-01-08,34,26.857142857142858,209
583,2020-01-09,26,26.142857142857142,235
647,2020-01-10,24,25.428571428571427,259
539,2020-01-11,27,26.428571428571427,286
663,2020-01-12,23,27.0,309
466,2020-01-13,31,28.285714285714285,340
341,2020-01-14,37,28.857142857142858,377
640,2020-01-15,24,27.428571428571427,401
630,2020-01-16,24,27.142857142857142,425
491,2020-01-17,30,28.0,455
920,2020-01-18,15,26.285714285714285,470
811,2020-01-19,18,25.571428571428573,488
536,2020-01-20,27,25.0,515
489,2020-01-21,30,24.0,545
412,2020-01-22,33,25.285714285714285,578
467,2020-01-23,30,26.142857142857142,608
674,2020-01-24,23,25.142857142857142,631
707,2020-01-25,21,26.0,652
812,2020-01-26,18,26.0,670
325,2020-01-27,37,27.428571428571427,707
675,2020-01-28,23,26.428571428571427,730
705,2020-01-29,22,24.857142857142858,752
503,2020-01-30,29,24.714285714285715,781
527,2020-01-31,28,25.428571428571427,809
724,2020-02-01,21,25.428571428571427,830
955,2020-02-02,13,24.714285714285715,843
470,2020-02-03,30,23.714285714285715,873
434,2020-02-04,32,25.0,905
716,2020-02-05,21,24.857142857142858,926
750,2020-02-06,20,23.571428571428573,946
679,2020-02-07,22,22.714285714285715,968
661,2020-02-08,23,23.0,991
726,2020-02-09,21,24.142857142857142,1012
542,2020-02-10,27,23.714285714285715,1039
408,2020-02-11,33,23.857142857142858,1072
499,2020-02-12,29,25.0,1101
494,2020-02-13,29,26.285714285714285,1130
391,2020-02-14,34,28.0,1164
831,2020-02-15,17,27.142857142857142,1181
709,2020-02-16,21,27.142857142857142,1202
454,2020-02-17,31,27.714285714285715,1233
733,2020-02-18,21,26.0,1254
768,2020-02-19,20,24.714285714285715,1274
874,2020-02-20,16,22.857142857142858,1290
631,2020-02-21,24,21.428571428571427,1314
857,2020-02-22,16,21.285714285714285,1330
553,2020-02-23,27,22.142857142857142,1357
629,2020-02-24,24,21.142857142857142,1381
777,2020-02-25,19,20.857142857142858,1400
762,2020-02-26,20,20.857142857142858,1420
388,2020-02-27,34,23.428571428571427,1454
606,2020-02-28,25,23.571428571428573,1479
898,2020-02-29,15,23.428571428571427,1494
739,2020-03-01,21,22.571428571428573,1515
389,2020-03-02,34,24.0,1549
634,2020-03-03,24,24.714285714285715,1573
668,2020-03-04,23,25.142857142857142,1596
545,2020-03-05,27,24.142857142857142,1623
610,2020-03-06,25,24.142857142857142,1648
468,2020-03-07,30,26.285714285714285,1678
648,2020-03-08,24,26.714285714285715,1702
310,2020-03-09,38,27.285714285714285,1740
332,2020-03-10,37,29.142857142857142,1777
256,2020-03-11,42,31.857142857142858,1819
185,2020-03-12,47,34.714285714285715,1866
429,2020-03-13,32,35.714285714285715,1898
189,2020-03-14,47,38.142857142857146,1945
214,2020-03-15,45,41.142857142857146,1990
151,2020-03-16,53,43.285714285714285,2043
96,2020-03-17,62,46.857142857142854,2105
85,2020-03-18,65,50.142857142857146,2170
39,2020-03-19,78,54.57142857142857,2248
48,2020-03-20,74,60.57142857142857,2322
46,2020-03-21,76,64.71428571428571,2398
130,2020-03-22,56,66.28571428571429,2454
10,2020-03-23,96,72.42857142857143,2550
0,2020-03-24,116,80.14285714285714,2666
8,2020-03-25,99,85.0,2765
16,2020-03-26,93,87.14285714285714,2858
1,2020-03-27,111,92.42857142857143,2969
29,2020-03-28,86,93.85714285714286,3055
152,2020-03-29,52,93.28571428571429,3107
30,2020-03-30,85,91.71428571428571,3192
2,2020-03-31,110,90.85714285714286,3302
6,2020-04-01,104,91.57142857142857,3406
34,2020-04-02,83,90.14285714285714,3489
18,2020-04-03,92,87.42857142857143,3581
145,2020-04-04,54,82.85714285714286,3635
249,2020-04-05,42,81.42857142857143,3677
52,2020-04-06,73,79.71428571428571,3750
36,2020-04-07,82,75.71428571428571,3832
65,2020-04-08,69,70.71428571428571,3901
